bootstrap_id,baseline_macro_f1,ensemble_macro_f1,delta_macro_f1,baseline_balanced_accuracy,ensemble_balanced_accuracy,delta_balanced_accuracy,baseline_minority_recall,ensemble_minority_recall,delta_minority_recall,baseline_worst_class_recall,ensemble_worst_class_recall,delta_worst_class_recall
476,0.8600956184133034,0.8827545209084078,0.022658902495104383,0.8439544307405388,0.887669458299095,0.043715027558556274,0.12455516014234876,0.47686832740213525,0.3523131672597865,0.12455516014234876,0.47686832740213525,0.3523131672597865
477,0.8601668356485307,0.8817480971428631,0.02158126149433237,0.8436247893310579,0.886113625728968,0.042488836397910124,0.15625,0.4618055555555556,0.3055555555555556,0.15625,0.4618055555555556,0.3055555555555556
478,0.8600169489959302,0.8807646719681758,0.020747722972245586,0.8432630502094817,0.8857902690408737,0.04252721883139199,0.18681318681318682,0.4945054945054945,0.3076923076923077,0.18681318681318682,0.4945054945054945,0.3076923076923077
479,0.8584666181472773,0.8797622476651812,0.02129562951790387,0.8422329947478333,0.8841422977299991,0.041909302982165775,0.16083916083916083,0.47202797202797203,0.3111888111888112,0.16083916083916083,0.47202797202797203,0.3111888111888112
480,0.8615557740929022,0.8839415439816902,0.022385769888788043,0.8453679968998274,0.8908506999270679,0.045482703027240445,0.16262975778546712,0.5121107266435986,0.34948096885813146,0.16262975778546712,0.5121107266435986,0.34948096885813146
481,0.8635617988656178,0.8835912345278348,0.020029435662217043,0.8465052095926353,0.8902247442896478,0.04371953469701251,0.22140221402214022,0.5571955719557196,0.33579335793357934,0.22140221402214022,0.5571955719557196,0.33579335793357934
482,0.8624779885115456,0.8844749875563023,0.021996999044756715,0.8450579051417635,0.8888252310388116,0.043767325897048126,0.17883211678832117,0.5766423357664233,0.39781021897810215,0.17883211678832117,0.5766423357664233,0.39781021897810215
483,0.8619416707698319,0.8831387257633289,0.021197054993497,0.8448793022823035,0.8875969087823538,0.0427176065000503,0.1824561403508772,0.5333333333333333,0.3508771929824561,0.1824561403508772,0.5333333333333333,0.3508771929824561
484,0.8631922322983839,0.8840645651948198,0.020872332896435863,0.8470332140826473,0.8898339062896761,0.04280069220702876,0.21754385964912282,0.5508771929824562,0.33333333333333337,0.21754385964912282,0.5508771929824562,0.33333333333333337
485,0.8614872136793851,0.8829162171714134,0.021429003492028365,0.8455383902403952,0.887881907578045,0.04234351733764974,0.17689530685920576,0.44765342960288806,0.2707581227436823,0.17689530685920576,0.44765342960288806,0.2707581227436823
486,0.8601126074698222,0.8787372341757688,0.018624626705946556,0.8437287838436996,0.8847815760029833,0.0410527921592837,0.19272727272727272,0.4109090909090909,0.21818181818181817,0.19272727272727272,0.4109090909090909,0.21818181818181817
487,0.860555560564424,0.8803424620826802,0.01978690151825624,0.8440743753785739,0.8870772446610026,0.04300286928242869,0.21621621621621623,0.525096525096525,0.3088803088803088,0.21621621621621623,0.525096525096525,0.3088803088803088
488,0.8602844325064057,0.8816453049009839,0.02136087239457818,0.8433743722232537,0.8871668440786867,0.043792471855433,0.19850187265917604,0.5093632958801498,0.31086142322097376,0.19850187265917604,0.5093632958801498,0.31086142322097376
489,0.860984137165728,0.8835121307912247,0.022527993625496734,0.8440613918866906,0.8889931910458725,0.044931799159181884,0.1659919028340081,0.5344129554655871,0.368421052631579,0.1659919028340081,0.5344129554655871,0.368421052631579
490,0.8591562046256208,0.8816090879518669,0.022452883326246065,0.8421171612812632,0.886444585032935,0.04432742375167176,0.15708812260536398,0.5019157088122606,0.3448275862068966,0.15708812260536398,0.5019157088122606,0.3448275862068966
491,0.858975864929113,0.8819336573348517,0.022957792405738697,0.8431222860367135,0.8877705543782535,0.04464826834154001,0.16988416988416988,0.5019305019305019,0.33204633204633205,0.16988416988416988,0.5019305019305019,0.33204633204633205
492,0.8627345444177755,0.8819289047845265,0.01919436036675093,0.845933917346867,0.8880082807611196,0.042074363414252636,0.15725806451612903,0.4637096774193548,0.30645161290322576,0.15725806451612903,0.4637096774193548,0.30645161290322576
493,0.8614718099743924,0.882855018315069,0.02138320834067653,0.8451582632976877,0.8878620905790499,0.04270382728136213,0.18374558303886926,0.5300353356890459,0.3462897526501767,0.18374558303886926,0.5300353356890459,0.3462897526501767
494,0.8626583110872309,0.8849336415456088,0.02227533045837793,0.8460504432862972,0.8895483184911595,0.04349787520486226,0.19117647058823528,0.5073529411764706,0.3161764705882353,0.19117647058823528,0.5073529411764706,0.3161764705882353
495,0.8594476088843502,0.8812294334657933,0.021781824581443066,0.842724013366183,0.8859075488376825,0.04318353547149956,0.20080321285140562,0.5301204819277109,0.32931726907630526,0.20080321285140562,0.5301204819277109,0.32931726907630526
496,0.860867849112839,0.8817412644336446,0.020873415320805666,0.8443135956015739,0.8873306064350469,0.04301701083347298,0.2,0.54,0.34,0.2,0.54,0.34
497,0.8633593892701906,0.8837077227659507,0.02034833349576004,0.8462141166797928,0.8891721353008473,0.04295801862105442,0.19047619047619047,0.5384615384615384,0.34798534798534797,0.19047619047619047,0.5384615384615384,0.34798534798534797
498,0.8616828291665577,0.8802357084999284,0.018552879333370687,0.8453922215525997,0.8866024049637876,0.04121018341118787,0.19672131147540983,0.4918032786885246,0.29508196721311475,0.19672131147540983,0.4918032786885246,0.29508196721311475
499,0.8613293089228847,0.883899723990992,0.022570415068107308,0.8447487637359596,0.8896674289618659,0.04491866522590626,0.21739130434782608,0.541501976284585,0.3241106719367589,0.21739130434782608,0.541501976284585,0.3241106719367589
